record_id,condition,chroma,tmax,value
1126,directional,hbo,31.5,3.814252785305191
1126,directional,hbr,31.5,-5.165440497216268
1126,nondirectional,hbo,31.5,5.950766523077772
1126,nondirectional,hbr,31.5,-3.958447953590164
1139,directional,hbo,31.5,-4.605291398563946
1139,directional,hbr,31.5,4.898654515360141
1139,nondirectional,hbo,31.5,0.845104930624116
1139,nondirectional,hbr,31.5,0.06385235219127619
1202,directional,hbo,31.5,-1.9786607300750472
1202,directional,hbr,31.5,-1.0052518446292675
1202,nondirectional,hbo,31.5,3.619090758899779
1202,nondirectional,hbr,31.5,-1.047380751312488
1253,directional,hbo,31.5,-1.3121552288622862
1253,directional,hbr,31.5,0.8343662447436817
1253,nondirectional,hbo,31.5,-4.043002536646946
1253,nondirectional,hbr,31.5,3.0403972304819336
1264,directional,hbo,31.5,9.824397593790776
1264,directional,hbr,31.5,-1.72183533204696
1264,nondirectional,hbo,31.5,2.0967200397160712
1264,nondirectional,hbr,31.5,-0.6241888588384239
